date	total	disease	wounds	other
4/1854	8571	550	500	550
5/1854	23333	552	600	900
6/1854	28333	951	700	600
7/1854	28772	359	800	230
8/1854	30246	828	100	300
9/1854	30290	788	810	700
10/1854	30643	503	132	128
11/1854	29736	844	287	106
12/1854	32779	1725	114	131
1/1855	32393	2761	830	324
2/1855	30919	2120	420	361
3/1855	30107	1205	320	172
4/1855	32252	477	48	570
5/1855	35473	508	49	370
6/1855	38863	802	209	310
7/1855	42647	382	134	330
8/1855	44614	483	164	250
9/1855	47751	189	276	200
10/1855	46852	128	530	180
11/1855	37853	178	330	320
12/1855	43217	910	180	280
1/1856	44212	420	200	480
2/1856	43485	240	500	190
3/1856	46140	150	700	350
