Date,Term,Contexts,Programs,Total Matches
2014-12-26,Ben Carson,0,0,0
2014-12-26,Carly Fiorina,0,0,0
2014-12-26,Chris Christie,0,0,0
2014-12-26,Donald Trump,0,0,0
2014-12-26,Jeb Bush,0,0,0
2014-12-26,John Kasich,0,0,0
2014-12-26,Lindsey Graham,0,0,0
2014-12-26,Marco Rubio,0,0,0
2014-12-26,Rand Paul,0,0,0
2014-12-26,Ted Cruz,0,0,0
2014-12-27,Ben Carson,1,1,1
2014-12-27,Carly Fiorina,0,0,0
2014-12-27,Chris Christie,2,2,2
2014-12-27,Donald Trump,1,1,1
2014-12-27,Jeb Bush,0,0,0
2014-12-27,John Kasich,0,0,0
2014-12-27,Lindsey Graham,0,0,0
2014-12-27,Marco Rubio,0,0,0
2014-12-27,Rand Paul,0,0,0
2014-12-27,Ted Cruz,1,1,1
2014-12-28,Ben Carson,0,0,0
2014-12-28,Carly Fiorina,0,0,0
2014-12-28,Chris Christie,9,9,10
2014-12-28,Donald Trump,0,0,0
2014-12-28,Jeb Bush,7,7,15
2014-12-28,John Kasich,0,0,0
2014-12-28,Lindsey Graham,0,0,0
2014-12-28,Marco Rubio,1,1,1
2014-12-28,Rand Paul,3,3,5
2014-12-28,Ted Cruz,0,0,0
2014-12-29,Ben Carson,0,0,0
2014-12-29,Carly Fiorina,0,0,0
2014-12-29,Chris Christie,1,2,3
2014-12-29,Donald Trump,0,0,0
2014-12-29,Jeb Bush,3,3,4
2014-12-29,John Kasich,0,0,0
2014-12-29,Lindsey Graham,0,0,0
2014-12-29,Marco Rubio,0,0,0
2014-12-29,Rand Paul,1,1,1
2014-12-29,Ted Cruz,0,0,0
2014-12-30,Ben Carson,0,0,0
2014-12-30,Carly Fiorina,0,0,0
2014-12-30,Chris Christie,3,4,7
2014-12-30,Donald Trump,3,3,3
2014-12-30,Jeb Bush,4,4,5
2014-12-30,John Kasich,0,0,0
2014-12-30,Lindsey Graham,0,0,0
2014-12-30,Marco Rubio,0,0,0
2014-12-30,Rand Paul,0,0,0
2014-12-30,Ted Cruz,0,0,0
2014-12-31,Ben Carson,0,0,0
2014-12-31,Carly Fiorina,0,0,0
2014-12-31,Chris Christie,1,1,1
2014-12-31,Donald Trump,1,1,5
2014-12-31,Jeb Bush,0,0,0
2014-12-31,John Kasich,0,0,0
2014-12-31,Lindsey Graham,0,0,0
2014-12-31,Marco Rubio,0,0,0
2014-12-31,Rand Paul,0,0,0
2014-12-31,Ted Cruz,0,0,0
2015-01-01,Ben Carson,1,1,2
2015-01-01,Carly Fiorina,0,0,0
2015-01-01,Chris Christie,4,4,5
2015-01-01,Donald Trump,0,0,0
2015-01-01,Jeb Bush,13,13,22
2015-01-01,John Kasich,0,0,0
2015-01-01,Lindsey Graham,0,0,0
2015-01-01,Marco Rubio,1,1,1
2015-01-01,Rand Paul,2,2,2
2015-01-01,Ted Cruz,1,1,1
