date,rate
Jan 2005,5.3
Feb 2005,5.4
Mar 2005,5.2
Apr 2005,5.2
May 2005,5.1
Jun 2005,5.0
Jul 2005,5.0
Aug 2005,4.9
Sep 2005,5.0
Oct 2005,5.0
Nov 2005,5.0
Dec 2005,4.9
Jan 2006,4.7
Feb 2006,4.8
Mar 2006,4.7
Apr 2006,4.7
May 2006,4.6
Jun 2006,4.6
Jul 2006,4.7
Aug 2006,4.7
Sep 2006,4.5
Oct 2006,4.4
Nov 2006,4.5
Dec 2006,4.4
Jan 2007,4.6
Feb 2007,4.5
Mar 2007,4.4
Apr 2007,4.5
May 2007,4.4
Jun 2007,4.6
Jul 2007,4.7
Aug 2007,4.6
Sep 2007,4.7
Oct 2007,4.7
Nov 2007,4.7
Dec 2007,5.0
Jan 2008,5.0
Feb 2008,4.9
Mar 2008,5.1
Apr 2008,5.0
May 2008,5.4
Jun 2008,5.6
Jul 2008,5.8
Aug 2008,6.1
Sep 2008,6.1
Oct 2008,6.5
Nov 2008,6.8
Dec 2008,7.3
Jan 2009,7.8
Feb 2009,8.3
Mar 2009,8.7
Apr 2009,9.0
May 2009,9.4
Jun 2009,9.5
Jul 2009,9.5
Aug 2009,9.6
Sep 2009,9.8
Oct 2009,10.0
Nov 2009,9.9
Dec 2009,9.9
Jan 2010,9.8
Feb 2010,9.8
Mar 2010,9.9
Apr 2010,9.9
May 2010,9.6
Jun 2010,9.4
Jul 2010,9.4
Aug 2010,9.5
Sep 2010,9.5
Oct 2010,9.4
Nov 2010,9.8
Dec 2010,9.3
Jan 2011,9.2
Feb 2011,9.0
Mar 2011,9.0
Apr 2011,9.1
May 2011,9.0
Jun 2011,9.1
Jul 2011,9.0
Aug 2011,9.0
Sep 2011,9.0
Oct 2011,8.8
Nov 2011,8.6
